path,target,input_lengths,english_gloss,chinese_gloss,cantonese_gloss
data\features\HKSLLEX-2023-00001747.pt,1993,144,reflect,反省,反省
data\features\HKSLLEX-2023-00001749.pt,1417,144,journey,旅程,旅程
data\features\HKSLLEX-2023-00001745.pt,539,154,car accident,車禍,車禍
data\features\HKSLLEX-2023-00001746.pt,408,154,bite on neck,咬頸,咬頸
data\features\HKSLLEX-2023-00001750.pt,1176,134,grab,捉住,捉住
data\features\HKSLLEX-2023-00001753.pt,1246,106,head,頭,頭
data\features\HKSLLEX-2023-00001751.pt,2760,163,zoo,動物園,動物園
data\features\HKSLLEX-2023-00001752.pt,1063,163,float,漂浮,漂浮
data\features\HKSLLEX-2023-00001755.pt,1505,144,lipread,讀唇,讀唇
data\features\HKSLLEX-2023-00001756.pt,1160,144,goal,目標,目標
data\features\HKSLLEX-2023-00001754.pt,2123,154,sculpture,雕塑,雕塑
data\features\HKSLLEX-2023-00001757.pt,2191,163,sign,手語,手語
data\features\HKSLLEX-2023-00001759.pt,794,163,destroy,破壞,破壞
data\features\HKSLLEX-2023-00001758.pt,1420,202,juggler,雜技演員,雜技演員
data\features\HKSLLEX-2023-00001760.pt,2070,163,rush,匆忙,匆忙
data\features\HKSLLEX-2023-00001761.pt,1923,163,process,流程,流程
data\features\HKSLLEX-2023-00001762.pt,1714,154,obvious,明顯,明顯
data\features\HKSLLEX-2023-00001764.pt,2002,154,"release, rescue",釋放,釋放
data\features\HKSLLEX-2023-00001765.pt,688,144,connection,關聯,關聯
data\features\HKSLLEX-2023-00001763.pt,1205,182,guide,帶領,帶領
data\features\HKSLLEX-2023-00001766.pt,1354,154,in,入面,入面
data\features\HKSLLEX-2023-00001768.pt,274,144,answer,回答,回答
data\features\HKSLLEX-2023-00001767.pt,1130,163,gate,大閘,大閘
data\features\HKSLLEX-2023-00001769.pt,1498,154,lights on,開燈,開燈
data\features\HKSLLEX-2023-00001771.pt,1861,144,platform,平台,平台
data\features\HKSLLEX-2023-00001770.pt,2557,173,true business,,堅
data\features\HKSLLEX-2023-00001772.pt,931,182,elevator,升降機,𨋢
data\features\HKSLLEX-2023-00001773.pt,1227,192,hamster,倉鼠,倉鼠
data\features\HKSLLEX-2023-00001774.pt,2292,154,spring,春天,春天
data\features\HKSLLEX-2023-00001776.pt,2402,154,suspenders,吊帶,吊帶
data\features\HKSLLEX-2023-00001777.pt,1855,144,plain,平淡,平淡
data\features\HKSLLEX-2023-00001779.pt,1677,154,next,下一個,下一個
data\features\HKSLLEX-2023-00001775.pt,832,182,disrupt,擾亂,擾亂
data\features\HKSLLEX-2023-00001782.pt,366,163,beanie,冷帽,冷帽
data\features\HKSLLEX-2023-00001780.pt,827,221,discuss,討論,討論
data\features\HKSLLEX-2023-00001781.pt,1744,202,orange eyes,大開眼界,大開眼界
data\features\HKSLLEX-2023-00001783.pt,399,154,bind,捆綁,捆綁
data\features\HKSLLEX-2023-00001785.pt,639,154,clothes,衣服,衫
data\features\HKSLLEX-2023-00001784.pt,1285,163,hold accountable,追究責任,追究責任
data\features\HKSLLEX-2023-00001786.pt,1258,163,heart touch,感動,感動
data\features\HKSLLEX-2023-00001787.pt,914,173,edge,邊緣,邊緣
data\features\HKSLLEX-2023-00001789.pt,2420,173,sword,劍,劍
data\features\HKSLLEX-2023-00001790.pt,1853,163,pjs,睡衣,睡衣
data\features\HKSLLEX-2023-00001791.pt,513,163,calculator,計數機,計數機
data\features\HKSLLEX-2023-00001788.pt,1198,221,grieve,悲痛,悲痛
data\features\HKSLLEX-2023-00001793.pt,2735,154,wow,嘩,嘩
data\features\HKSLLEX-2023-00001792.pt,762,173,decline,衰退,衰退
data\features\HKSLLEX-2023-00001794.pt,1232,154,handsome,帥,靚仔
data\features\HKSLLEX-2023-00001795.pt,2153,163,shape,形狀,形狀
data\features\HKSLLEX-2023-00001797.pt,2534,154,towel,毛巾,毛巾
data\features\HKSLLEX-2023-00001796.pt,1391,163,intuitive,直覺,直覺
data\features\HKSLLEX-2023-00001798.pt,2419,163,switzerland,瑞士,瑞士
data\features\HKSLLEX-2023-00001799.pt,2377,163,suck,吸吮,吸吮
data\features\HKSLLEX-2023-00001801.pt,698,125,cool,涼爽,涼爽
data\features\HKSLLEX-2023-00001800.pt,318,163,axe,斧頭,斧頭
data\features\HKSLLEX-2023-00001802.pt,2590,154,unique,獨特,獨特
data\features\HKSLLEX-2023-00001803.pt,732,144,crown,王冠,王冠
data\features\HKSLLEX-2023-00001804.pt,1803,163,peas,豌豆,豌豆
data\features\HKSLLEX-2023-00001806.pt,1996,144,register,登記,登記
data\features\HKSLLEX-2023-00001808.pt,1145,134,give,俾,俾
data\features\HKSLLEX-2023-00001809.pt,574,134,charge,收錢,收錢
data\features\HKSLLEX-2023-00001807.pt,2612,154,vanilla,雲尼拿,雲尼拿
data\features\HKSLLEX-2023-00001805.pt,2428,182,take off,起飛,起飛
data\features\HKSLLEX-2023-00001811.pt,2061,154,rough,粗糙,粗糙
data\features\HKSLLEX-2023-00001810.pt,276,163,antlers,鹿角,鹿角
data\features\HKSLLEX-2023-00001814.pt,2571,144,twins,雙胞胎,雙胞胎
data\features\HKSLLEX-2023-00001813.pt,2464,144,then,然後,然後
data\features\HKSLLEX-2023-00001817.pt,2482,134,this/it,這個,呢個
data\features\HKSLLEX-2023-00001812.pt,471,163,break down,崩解,崩解
data\features\HKSLLEX-2023-00001816.pt,2047,163,robot,機器人,機器人
data\features\HKSLLEX-2023-00001815.pt,854,163,dont like,不喜歡,唔鍾意
data\features\HKSLLEX-2023-00001818.pt,572,154,chaos,一團糟,一鑊粥
data\features\HKSLLEX-2023-00001819.pt,1933,173,propeller,螺旋槳,螺旋槳
data\features\HKSLLEX-2023-00001823.pt,1446,134,knock,敲,敲
data\features\HKSLLEX-2023-00001822.pt,325,144,back out,反口,反口
data\features\HKSLLEX-2023-00001821.pt,887,163,drug,毒品,毒品
data\features\HKSLLEX-2023-00001820.pt,2056,173,roof,屋頂,屋頂
data\features\HKSLLEX-2023-00001824.pt,2129,154,seem,似乎,似乎
data\features\HKSLLEX-2023-00001826.pt,2429,134,take pill,食藥,食藥
data\features\HKSLLEX-2023-00001825.pt,907,173,easel,畫架,畫架
data\features\HKSLLEX-2023-00001827.pt,1586,154,melt,融化,融化
data\features\HKSLLEX-2023-00001828.pt,1125,144,gamble,賭錢,賭錢
data\features\HKSLLEX-2023-00001829.pt,2752,144,your,你的,你嘅
data\features\HKSLLEX-2023-00001830.pt,2095,154,sauce,醬,醬
data\features\HKSLLEX-2023-00001831.pt,2655,154,wash hands,洗手,洗手
data\features\HKSLLEX-2023-00001834.pt,1033,144,filter,篩選,篩選
data\features\HKSLLEX-2023-00001833.pt,1904,144,predict,預測,預測
data\features\HKSLLEX-2023-00001832.pt,2237,154,sneak adventure,偷走,偷走
data\features\HKSLLEX-2023-00001835.pt,394,154,better,更好,更好
data\features\HKSLLEX-2023-00001837.pt,449,144,bottom,底部,底部
data\features\HKSLLEX-2023-00001836.pt,1824,192,pet,寵物,寵物
data\features\HKSLLEX-2023-00001839.pt,915,163,edit,編輯,編輯
data\features\HKSLLEX-2023-00001840.pt,2195,144,signature,簽署,簽名
data\features\HKSLLEX-2023-00001841.pt,2653,144,wash dishes,洗碗,洗碗
data\features\HKSLLEX-2023-00001838.pt,2350,192,stopwatch,秒錶,秒錶
data\features\HKSLLEX-2023-00001843.pt,307,163,audience,觀眾,觀眾
data\features\HKSLLEX-2023-00001842.pt,859,211,donut,甜甜圈,冬甩
data\features\HKSLLEX-2023-00001844.pt,473,154,breakfast,早餐,早餐
data\features\HKSLLEX-2023-00001845.pt,1534,134,lousy,惡劣,惡劣
data\features\HKSLLEX-2023-00001846.pt,2597,154,upset,沮喪,沮喪
data\features\HKSLLEX-2023-00001847.pt,1540,144,lunch,午餐,午餐
data\features\HKSLLEX-2023-00001849.pt,1961,154,quit,離開,離開
data\features\HKSLLEX-2023-00001848.pt,464,182,braille,盲文凸字,盲文凸字
data\features\HKSLLEX-2023-00001851.pt,1793,154,pay,俾錢,俾錢
data\features\HKSLLEX-2023-00001850.pt,2643,163,wallet,銀包,銀包
data\features\HKSLLEX-2023-00001853.pt,1261,144,heavy,重,重
data\features\HKSLLEX-2023-00001852.pt,1022,182,fencing,劍擊,劍擊
data\features\HKSLLEX-2023-00001854.pt,2190,154,sideburns,鬢角,䄪穗
data\features\HKSLLEX-2023-00001855.pt,1809,163,penguin,企鵝,企鵝
data\features\HKSLLEX-2023-00001857.pt,1740,154,option,選項,選項
data\features\HKSLLEX-2023-00001856.pt,437,192,bolt,螺栓,螺絲頭
data\features\HKSLLEX-2023-00001859.pt,1373,163,inspiring,鼓舞人心,鼓舞人心
data\features\HKSLLEX-2023-00001858.pt,792,173,dessert,甜品,甜品
data\features\HKSLLEX-2023-00001861.pt,2220,154,slide,瀡,瀡
data\features\HKSLLEX-2023-00001860.pt,1223,163,hall,禮堂,禮堂
data\features\HKSLLEX-2023-00001862.pt,1329,173,i love you,我愛你,我愛你
data\features\HKSLLEX-2023-00001864.pt,1784,154,party,派對,派對
data\features\HKSLLEX-2023-00001863.pt,630,202,climb ladder,爬梯,爬梯
data\features\HKSLLEX-2023-00001865.pt,777,163,delinquent,違法,違法
data\features\HKSLLEX-2023-00001866.pt,1645,144,must,必須,必須
data\features\HKSLLEX-2023-00001867.pt,1281,144,hit,打,打
data\features\HKSLLEX-2023-00001869.pt,1566,154,marry,嫁,嫁
data\features\HKSLLEX-2023-00001870.pt,1272,173,high heels,高跟鞋,高踭鞋
data\features\HKSLLEX-2023-00001871.pt,720,144,cream,忌廉,忌廉
data\features\HKSLLEX-2023-00001874.pt,1383,144,interested,有興趣,有興趣
data\features\HKSLLEX-2023-00001872.pt,1323,173,hurdle,跨欄,跨欄
data\features\HKSLLEX-2023-00001873.pt,302,202,astronaut,太空人,太空人
data\features\HKSLLEX-2023-00001878.pt,2235,134,snap,彈手指,撻手指
data\features\HKSLLEX-2023-00001877.pt,1512,182,living room,客廳,客廳
data\features\HKSLLEX-2023-00001875.pt,913,202,eclipse,日蝕,日蝕
data\features\HKSLLEX-2023-00001880.pt,1069,134,fold,摺,摺
data\features\HKSLLEX-2023-00001879.pt,789,144,depth,深度,深度
data\features\HKSLLEX-2023-00001881.pt,342,154,band aid,膠布,膠布
data\features\HKSLLEX-2023-00001883.pt,1528,154,look forward,期待,期待
data\features\HKSLLEX-2023-00001882.pt,308,192,auditorium,觀眾席,觀眾席
data\features\HKSLLEX-2023-00001887.pt,393,125,bet,打賭,打賭
data\features\HKSLLEX-2023-00001885.pt,506,163,buttons,鈕扣,鈕扣
data\features\HKSLLEX-2023-00001884.pt,1091,173,fraction,分數,分數
data\features\HKSLLEX-2023-00001886.pt,2042,163,risk,風險,風險
data\features\HKSLLEX-2023-00001888.pt,2283,144,spit out,吐出,吐出
data\features\HKSLLEX-2023-00001889.pt,2589,134,unicorn,獨角獸,獨角獸
data\features\HKSLLEX-2023-00001892.pt,1482,134,let go,放低,放低
data\features\HKSLLEX-2023-00001894.pt,382,134,beg,求,求
data\features\HKSLLEX-2023-00001893.pt,1694,144,normal,普通,普通
data\features\HKSLLEX-2023-00001890.pt,1351,182,impress,留下深刻印象,留下深刻印象
data\features\HKSLLEX-2023-00001895.pt,1469,144,leak,洩漏,洩漏
data\features\HKSLLEX-2023-00001891.pt,1398,173,isolated,孤立,孤立
data\features\HKSLLEX-2023-00001896.pt,1745,173,orange throat,收回說過的東西,收返講過嘅嘢
data\features\HKSLLEX-2023-00001898.pt,1245,125,he,他,他
data\features\HKSLLEX-2023-00001897.pt,2407,163,sweatpants,運動褲,運動褲
data\features\HKSLLEX-2023-00001899.pt,424,154,blow mind,震撼,震撼
data\features\HKSLLEX-2023-00001900.pt,1587,163,member,成員,成員
data\features\HKSLLEX-2023-00001901.pt,1035,163,finance,金融,金融
data\features\HKSLLEX-2023-00001904.pt,2315,134,stay,停留,停留
data\features\HKSLLEX-2023-00001903.pt,813,163,dining room,飯廳,飯廳
data\features\HKSLLEX-2023-00001902.pt,217,202,accordion,手風琴,手風琴
data\features\HKSLLEX-2023-00001905.pt,438,144,bomb,炸彈,炸彈
data\features\HKSLLEX-2023-00001906.pt,1115,163,frown,皺眉,皺眉
data\features\HKSLLEX-2023-00001907.pt,1279,144,his,他的,佢嘅
data\features\HKSLLEX-2023-00001909.pt,1860,134,plate,碟,碟
data\features\HKSLLEX-2023-00001908.pt,898,144,each,每個,每個
data\features\HKSLLEX-2023-00001910.pt,1324,154,hurricane,颶風,颶風
data\features\HKSLLEX-2023-00001911.pt,391,154,best,最好,最好
data\features\HKSLLEX-2023-00001912.pt,1897,154,pour,斟,斟
data\features\HKSLLEX-2023-00001913.pt,1293,163,honey,蜜糖,蜜糖
data\features\HKSLLEX-2023-00001915.pt,976,154,expect,預計,預計
data\features\HKSLLEX-2023-00001914.pt,2603,163,vagina,陰道,陰道
data\features\HKSLLEX-2023-00001917.pt,593,144,chin,下巴,下巴
data\features\HKSLLEX-2023-00001916.pt,2221,144,slingshot,丫叉彈弓,丫叉彈弓
data\features\HKSLLEX-2023-00001918.pt,2434,144,tan,曬黑,曬黑
data\features\HKSLLEX-2023-00001919.pt,1240,163,harp,豎琴,豎琴
data\features\HKSLLEX-2023-00001921.pt,1178,134,grade,成績,成績
data\features\HKSLLEX-2023-00001920.pt,1941,192,psychology,心理學,心理學
data\features\HKSLLEX-2023-00001922.pt,1640,144,murder ,謀殺,謀殺
data\features\HKSLLEX-2023-00001924.pt,2744,144,yawn,打哈欠,打喊露
data\features\HKSLLEX-2023-00001925.pt,1243,154,hate,憎,憎
data\features\HKSLLEX-2023-00001923.pt,1243,163,hate,恨,憎
data\features\HKSLLEX-2023-00001926.pt,1284,134,hold,揸住,揸住
data\features\HKSLLEX-2023-00001927.pt,1661,125,neck,頸,頸
data\features\HKSLLEX-2023-00001928.pt,2044,144,road,路,路
data\features\HKSLLEX-2023-00001929.pt,2579,144,udder,乳房,乳房
data\features\HKSLLEX-2023-00001931.pt,2480,163,third,第三,第三
data\features\HKSLLEX-2023-00001930.pt,2475,182,think connect,心靈相通,心靈相通
data\features\HKSLLEX-2023-00001932.pt,2334,173,sticky,黏黏的,黐笠笠
data\features\HKSLLEX-2023-00001933.pt,2066,173,rule,規則,規則
data\features\HKSLLEX-2023-00001934.pt,897,173,dye,染色,染色
data\features\HKSLLEX-2023-00001935.pt,2077,154,sailboat,帆船,帆船
data\features\HKSLLEX-2023-00001936.pt,1593,134,microphone,麥克風,咪高峰
data\features\HKSLLEX-2023-00001937.pt,2453,173,temper blow up,發脾氣,發脾氣
data\features\HKSLLEX-2023-00001939.pt,604,154,chop,剁,剁
data\features\HKSLLEX-2023-00001938.pt,835,173,distracted,分心,分心
data\features\HKSLLEX-2023-00001940.pt,337,154,bald,禿頭,禿頭
data\features\HKSLLEX-2023-00001943.pt,1900,173,practice,練習,練習
data\features\HKSLLEX-2023-00001941.pt,1045,192,firetruck,消防車,消防車
data\features\HKSLLEX-2023-00001942.pt,883,192,drip,滴,滴
data\features\HKSLLEX-2023-00001944.pt,329,173,backyard,後院,後花園
data\features\HKSLLEX-2023-00001945.pt,480,154,bring,帶,帶
data\features\HKSLLEX-2023-00001946.pt,890,154,dry,乾燥,乾燥
data\features\HKSLLEX-2023-00001947.pt,1716,173,octopus,八爪魚,八爪魚
data\features\HKSLLEX-2023-00001948.pt,1680,163,next to,旁邊,隔籬
data\features\HKSLLEX-2023-00001950.pt,1100,154,freeze,凍結,凍結
data\features\HKSLLEX-2023-00001952.pt,1730,144,one,一,一
data\features\HKSLLEX-2023-00001949.pt,497,182,burp,打嗝,打嗝
data\features\HKSLLEX-2023-00001951.pt,311,192,autism,自閉症,自閉症
data\features\HKSLLEX-2023-00001953.pt,620,163,clause,條款,條款
data\features\HKSLLEX-2023-00001954.pt,1620,163,monster,怪物,怪物
data\features\HKSLLEX-2023-00001955.pt,2488,144,thunder,打雷,行雷
data\features\HKSLLEX-2023-00001956.pt,902,154,earmuffs,耳罩,耳罩
data\features\HKSLLEX-2023-00001957.pt,576,144,chase,追趕,追趕
data\features\HKSLLEX-2023-00001959.pt,2091,154,santa  ,聖誕老人,聖誕老人
data\features\HKSLLEX-2023-00001958.pt,1440,173,kiss on cheek,親吻臉頰,親吻臉頰
data\features\HKSLLEX-2023-00001960.pt,343,192,bandage,繃帶,繃帶
data\features\HKSLLEX-2023-00001962.pt,2039,144,ride,乘搭,乘搭
data\features\HKSLLEX-2023-00001961.pt,2660,202,water ski,滑水,滑水
data\features\HKSLLEX-2023-00001963.pt,1328,163,hypocrite,偽君子,偽君子
data\features\HKSLLEX-2023-00001964.pt,2708,154,will,將會 ,將會 
data\features\HKSLLEX-2023-00001965.pt,2228,173,smell money,廉價,廉價
data\features\HKSLLEX-2023-00001967.pt,479,144,bright,明亮,明亮
data\features\HKSLLEX-2023-00001966.pt,2666,163,we will see,看看怎樣,睇吓點
data\features\HKSLLEX-2023-00001968.pt,1989,173,red faced,尷尬,尷尬
data\features\HKSLLEX-2023-00001969.pt,843,154,doesnt matter,不要緊,唔緊要
data\features\HKSLLEX-2023-00001970.pt,488,163,buffalo,水牛,水牛
data\features\HKSLLEX-2023-00001971.pt,802,154,dictionary,字典,字典
data\features\HKSLLEX-2023-00001972.pt,1795,163,pay off bills,還清帳單,還清帳單
data\features\HKSLLEX-2023-00001974.pt,1976,144,ready,準備好,準備好
data\features\HKSLLEX-2023-00001973.pt,1221,173,half,一半,一半
data\features\HKSLLEX-2023-00001975.pt,357,144,bat,蝙蝠,蝙蝠
data\features\HKSLLEX-2023-00001978.pt,1950,144,put,放,放
data\features\HKSLLEX-2023-00001977.pt,1392,154,invest,投資,投資
data\features\HKSLLEX-2023-00001976.pt,645,173,cocaine,可卡因,可卡因
data\features\HKSLLEX-2023-00001979.pt,1139,154,get through,通過,通過
data\features\HKSLLEX-2023-00001980.pt,965,163,event,事件,事件
data\features\HKSLLEX-2023-00001981.pt,457,163,boxing,拳擊,拳擊
data\features\HKSLLEX-2023-00001982.pt,737,154,curious,好奇,好奇
data\features\HKSLLEX-2023-00001983.pt,1003,163,fan,扇,扇
data\features\HKSLLEX-2023-00001984.pt,322,163,babysitter,保母,保母
data\features\HKSLLEX-2023-00001985.pt,1499,154,like,喜歡,鍾意
data\features\HKSLLEX-2023-00001987.pt,452,154,bow 1,弓,弓
data\features\HKSLLEX-2023-00001988.pt,451,163,bow,鞠躬,鞠躬
data\features\HKSLLEX-2023-00001989.pt,712,154,crack,裂縫,裂縫
data\features\HKSLLEX-2023-00001986.pt,583,230,cheese grater,芝士刨絲器,芝士刨絲器
data\features\HKSLLEX-2023-00001990.pt,2196,211,signing fluently,流暢地做手語,流暢地做手語
data\features\HKSLLEX-2023-00001991.pt,2689,221,wheelbarrow,獨輪手推車,獨輪手推車
data\features\HKSLLEX-2023-00001992.pt,2425,173,take care,保重,保重
data\features\HKSLLEX-2023-00001993.pt,287,182,argue,爭論,拗撬
data\features\HKSLLEX-2023-00001995.pt,1955,182,q tip,棉花棒,棉花棒
data\features\HKSLLEX-2023-00001994.pt,1564,230,marionette,扯線公仔,扯線公仔
data\features\HKSLLEX-2023-00001996.pt,879,192,dresser,床頭櫃,床頭櫃
data\features\HKSLLEX-2023-00001997.pt,301,163,assistant,助手,助手
data\features\HKSLLEX-2023-00001999.pt,1460,192,law,法律,法律
data\features\HKSLLEX-2023-00001998.pt,1062,192,flipflops,人字拖,人字拖
data\features\HKSLLEX-2023-00002000.pt,1753,163,over,超過,超過
data\features\HKSLLEX-2023-00002001.pt,1724,192,ok,ok,ok
data\features\HKSLLEX-2023-00002004.pt,526,163,cancel,取消,取消
data\features\HKSLLEX-2023-00002002.pt,1741,182,or,或者,或者
data\features\HKSLLEX-2023-00002003.pt,642,202,clueless,一無所知,一無所知
data\features\HKSLLEX-2023-00002005.pt,969,182,everything,一切,一切
data\features\HKSLLEX-2023-00002007.pt,2144,144,seven,七,七
data\features\HKSLLEX-2023-00002006.pt,763,154,dedicate,奉獻,奉獻
data\features\HKSLLEX-2023-00002008.pt,2096,163,sausage,香腸,香腸
data\features\HKSLLEX-2023-00002009.pt,2102,182,scar memory,烙印,烙印
data\features\HKSLLEX-2023-00002010.pt,2562,163,turban,頭巾,頭巾
data\features\HKSLLEX-2023-00002012.pt,2427,173,take notes,抄筆記,抄筆記
data\features\HKSLLEX-2023-00002013.pt,1810,173,penis,陰莖,陰莖
data\features\HKSLLEX-2023-00002011.pt,2737,202,wrap up,包裝,包裝
data\features\HKSLLEX-2023-00002014.pt,332,163,badge,徽章,徽章
data\features\HKSLLEX-2023-00002015.pt,637,182,closet,衣櫃,衣櫃
data\features\HKSLLEX-2023-00002016.pt,1748,211,ostrich,鴕鳥,鴕鳥
data\features\HKSLLEX-2023-00002017.pt,1159,182,go to jail,坐監,坐監
data\features\HKSLLEX-2023-00002019.pt,589,173,child,小朋友,小朋友
data\features\HKSLLEX-2023-00002018.pt,1705,192,not used to,不習慣,唔習慣
data\features\HKSLLEX-2023-00002020.pt,2037,163,rich,富有,富有
data\features\HKSLLEX-2023-00002021.pt,1994,192,refrigerator,雪櫃,雪櫃
data\features\HKSLLEX-2023-00002022.pt,2290,182,spot something,發現,發現
data\features\HKSLLEX-2023-00002023.pt,1500,182,limited,有限,有限
data\features\HKSLLEX-2023-00002024.pt,2260,163,soon,很快,轉頭
data\features\HKSLLEX-2023-00002025.pt,412,173,blame,責備,責備
data\features\HKSLLEX-2023-00002028.pt,1206,173,guillotine,斷頭台,斷頭台
data\features\HKSLLEX-2023-00002026.pt,1021,173,fence,籬笆,籬笆
data\features\HKSLLEX-2023-00002027.pt,1283,182,hoe,鋤頭,鋤頭
data\features\HKSLLEX-2023-00002030.pt,2654,182,wash face,洗面,洗面
data\features\HKSLLEX-2023-00002029.pt,2257,182,something,某樣東西,某樣嘢
data\features\HKSLLEX-2023-00002031.pt,960,182,escape,逃走,逃走
data\features\HKSLLEX-2023-00002032.pt,1851,182,pizza,披薩,披薩
data\features\HKSLLEX-2023-00002033.pt,277,154,any,任何,任何
data\features\HKSLLEX-2023-00002035.pt,901,134,early,早,早
data\features\HKSLLEX-2023-00002034.pt,2436,163,tape,膠紙,膠紙
data\features\HKSLLEX-2023-00002036.pt,1424,173,jump rope,跳繩,跳繩
data\features\HKSLLEX-2023-00002037.pt,1274,192,highlighter,螢光筆,螢光筆
data\features\HKSLLEX-2023-00002038.pt,2574,192,two more,多兩個,多兩個
data\features\HKSLLEX-2023-00002039.pt,501,182,busted,破獲,斷正
data\features\HKSLLEX-2023-00002040.pt,672,163,complain,投訴,投訴
data\features\HKSLLEX-2023-00002041.pt,1985,163,record,記錄,記錄
data\features\HKSLLEX-2023-00002043.pt,1541,163,lungs,肺,肺
data\features\HKSLLEX-2023-00002042.pt,552,192,catepillar,毛毛蟲,毛毛蟲
data\features\HKSLLEX-2023-00002044.pt,1098,163,free,自由,自由
data\features\HKSLLEX-2023-00002046.pt,1854,182,place,地方,地方
data\features\HKSLLEX-2023-00002047.pt,2216,173,skunk,臭鼬鼠,臭鼬鼠
data\features\HKSLLEX-2023-00002045.pt,1849,182,pitcher,投球手,投球手
data\features\HKSLLEX-2023-00002048.pt,1889,173,porcupine,箭豬,箭豬
data\features\HKSLLEX-2023-00002049.pt,2312,173,stare,凝視,睥
data\features\HKSLLEX-2023-00002050.pt,2282,182,spill,倒瀉,倒瀉
data\features\HKSLLEX-2023-00002051.pt,1078,173,forest,森林,森林
data\features\HKSLLEX-2023-00002052.pt,2479,163,think penetrate,洞察,洞察
data\features\HKSLLEX-2023-00002053.pt,209,173,abbreviate,簡稱,簡稱
data\features\HKSLLEX-2023-00002056.pt,2503,154,tired of,厭倦,厭倦
data\features\HKSLLEX-2023-00002054.pt,987,182,eyes awake,捱夜,捱夜
data\features\HKSLLEX-2023-00002057.pt,1548,154,maid,女傭,女傭
data\features\HKSLLEX-2023-00002055.pt,519,192,camel,駱駝,駱駝
data\features\HKSLLEX-2023-00002058.pt,628,154,click,㩒一下,㩒一下
data\features\HKSLLEX-2023-00002059.pt,695,163,convince,說服,說服
data\features\HKSLLEX-2023-00002060.pt,1704,163,not understand,不明白,唔明
data\features\HKSLLEX-2023-00002063.pt,2155,154,sharp,鋒利,鋒利
data\features\HKSLLEX-2023-00002065.pt,1070,154,follow,跟隨,跟隨
data\features\HKSLLEX-2023-00002062.pt,1636,173,move down,向下移動,向下移動
data\features\HKSLLEX-2023-00002061.pt,2483,192,thought disappear,想不起,醒唔起
data\features\HKSLLEX-2023-00002064.pt,2124,173,seal,海豹,海豹
data\features\HKSLLEX-2023-00002067.pt,2148,125,shake,搖,搖
data\features\HKSLLEX-2023-00002066.pt,1702,163,not mind,不介意,唔介意
data\features\HKSLLEX-2023-00002068.pt,605,125,chopsticks,筷子,筷子
data\features\HKSLLEX-2023-00002069.pt,327,134,backpack,背囊,背囊
data\features\HKSLLEX-2023-00002070.pt,1230,134,hands,手,手
data\features\HKSLLEX-2023-00002071.pt,1754,125,overlook,忽視,忽視
data\features\HKSLLEX-2023-00002073.pt,1535,125,love,愛,愛
data\features\HKSLLEX-2023-00002075.pt,1764,125,page,頁,頁
data\features\HKSLLEX-2023-00002074.pt,2244,125,so,所以,所以
data\features\HKSLLEX-2023-00002072.pt,2233,154,snail,蝸牛,蝸牛
data\features\HKSLLEX-2023-00002076.pt,1977,134,real sick,病重,病重
data\features\HKSLLEX-2023-00002077.pt,1547,134,magnify,放大,放大
data\features\HKSLLEX-2023-00002079.pt,1325,134,hurry,趕,趕
data\features\HKSLLEX-2023-00002078.pt,1162,134,goatee,山羊鬍,山羊鬍
data\features\HKSLLEX-2023-00002080.pt,1404,134,jar,罐,甖
data\features\HKSLLEX-2023-00002081.pt,2069,144,run out of,用晒,用晒
data\features\HKSLLEX-2023-00002082.pt,315,154,awake,甦醒,甦醒
data\features\HKSLLEX-2023-00002084.pt,995,144,fair,公平,公平
data\features\HKSLLEX-2023-00002083.pt,603,154,choke,哽塞,哽嚫
data\features\HKSLLEX-2023-00002087.pt,2074,125,safe,安全,安全
data\features\HKSLLEX-2023-00002085.pt,566,144,champion,冠軍,冠軍
data\features\HKSLLEX-2023-00002086.pt,1344,144,immature,不成熟,唔成熟
data\features\HKSLLEX-2023-00002088.pt,2302,144,stadium,體育場,體育場
data\features\HKSLLEX-2023-00002089.pt,1229,144,handcuffs,手銬,手銬
data\features\HKSLLEX-2023-00002092.pt,2356,134,straw,飲管,飲管
data\features\HKSLLEX-2023-00002091.pt,1823,144,persuade,遊說,遊說
data\features\HKSLLEX-2023-00002090.pt,1228,154,hand soap,洗手液,洗手液
data\features\HKSLLEX-2023-00002093.pt,2424,134,take,拿,拎
data\features\HKSLLEX-2023-00002095.pt,1641,115,muscle,肌肉,肌肉
data\features\HKSLLEX-2023-00002094.pt,2272,144,spain,西班牙,西班牙
data\features\HKSLLEX-2023-00002096.pt,616,134,clap,拍手,拍手
data\features\HKSLLEX-2023-00002097.pt,2512,115,together,一齊,一齊
data\features\HKSLLEX-2023-00002098.pt,350,134,barrette,髮夾,髮夾
data\features\HKSLLEX-2023-00002099.pt,326,134,back up,後備,後備
data\features\HKSLLEX-2023-00002100.pt,2381,134,suit,西裝,西裝
data\features\HKSLLEX-2023-00002102.pt,1786,134,pass out,昏迷,昏迷
data\features\HKSLLEX-2023-00002101.pt,1195,163,green beans,豆莢,豆莢
data\features\HKSLLEX-2023-00002104.pt,1295,134,hongkong,香港,香港
data\features\HKSLLEX-2023-00002103.pt,2757,154,zebra,斑馬,斑馬
data\features\HKSLLEX-2023-00002105.pt,2309,134,stapler,釘書機,釘書機
data\features\HKSLLEX-2023-00002108.pt,1096,134,freak out,嚇到,嚇親
